old_path,new_path,action,reason,confidence
wedge-signal-entry.md,01 Playbooks/wedge-signal-entry.md,flag-merge-candidate,"content-based routing → 01 Playbooks | NAME KEPT: 51 vault files cite `wedge-signal-entry.md` in prose; Title-Case rename would force prose edits (rule 2) — propose frontmatter `aliases:` in Phase 3 instead. Flip to rename if you prefer rule 8 strictly | MERGE CANDIDATE with 'Project-Hand-Off/04-WEDGE-ROUTING.md': '### 2.3 Save the screenshot, not the summary', '### 2.4 Verdict', 'Hard kills — disqualify immediately', 'Signal → wedge routing' table — 04-WEDGE-ROUTING is a condensed hand-off rewrite of wedge-signal-entry (which carries a Change log and §4 schema tagging that 04 lacks) | MERGE CANDIDATE with 'clinic-audit-checklist.md': checklist '## 4 · Booking-Flow Mystery Shop' ↔ wedge-signal-entry '## 2. Speed-to-lead audit SOP' — Both define the mystery-shop procedure; wedge-signal-entry is the declared canonical rulebook",medium
EVENT-SNAPSHOT-2026-09-02.md,03 Audits and Reviews/Event Snapshot 2026-09-02.md,move,content-based routing → 03 Audits and Reviews,high
ONE-PAGER-AUDIT-AND-TEST-PLAN.md,03 Audits and Reviews/ONE-PAGER-AUDIT-AND-TEST-PLAN.md,flag-merge-candidate,content-based routing → 03 Audits and Reviews | NAME KEPT: 7 vault files cite `ONE-PAGER-AUDIT-AND-TEST-PLAN.md` in prose; Title-Case rename would force prose edits (rule 2) — propose frontmatter `aliases:` in Phase 3 instead. Flip to rename if you prefer rule 8 strictly | MERGE CANDIDATE with 'ONE-PAGER-STEELMAN-2026-08-14.md': Audit '## 5 · The three arms' ↔ Steelman '## 4 · The test design — and why the Aug-5 three-arm plan can't run'; Steelman '## 3 · Four things the Aug-5 audit did — Steelman explicitly supersedes/responds to the Aug-5 audit; sequential reviews of the same one-pager set,medium
ONE-PAGER-STEELMAN-2026-08-14.md,03 Audits and Reviews/One-Pager Steelman 2026-08-14.md,flag-merge-candidate,content-based routing → 03 Audits and Reviews | renamed; 1 file(s) cite the old name in prose — update in the same commit (rule 3) | MERGE CANDIDATE with 'ONE-PAGER-AUDIT-AND-TEST-PLAN.md': Audit '## 5 · The three arms' ↔ Steelman '## 4 · The test design — and why the Aug-5 three-arm plan can't run'; Steelman '## 3 · Four things the Aug-5 audit did — Steelman explicitly supersedes/responds to the Aug-5 audit; sequential reviews of the same one-pager set,high
outbound-process-changes-2026-08-11.md,03 Audits and Reviews/Outbound Process Changes 2026-08-11.md,move,content-based routing → 03 Audits and Reviews | renamed; 3 file(s) cite the old name in prose — update in the same commit (rule 3),medium
SESSION-2026-08-10-se-bangalore-scrape.md,03 Audits and Reviews/Session 2026-08-10 SE Bangalore Scrape.md,move,content-based routing → 03 Audits and Reviews | renamed; 3 file(s) cite the old name in prose — update in the same commit (rule 3),medium
outreach-aesthetica-veda-vaibhav-whatsapp.md,04 Clients/Aesthetica Veda/Aesthetica Veda Vybhav WhatsApp First Touch.md,move,content-based routing → 04 Clients/Aesthetica Veda,high
AURILUEUR-BANGALORE-PRICE-BENCHMARKS-2026-09-05.md,04 Clients/Aurilueur Esthetic Clinic/Aurilueur Bangalore Price Benchmarks 2026-09-05.md,move,content-based routing → 04 Clients/Aurilueur Esthetic Clinic | renamed; 1 file(s) cite the old name in prose — update in the same commit (rule 3),high
Proposals & SOW/Aurilueur Esthetic Clinic - Enquiry and Appointment Systems Proposal.pdf,04 Clients/Aurilueur Esthetic Clinic/Aurilueur Esthetic Clinic - Enquiry and Appointment Systems Proposal.pdf,move,content-based routing → 04 Clients/Aurilueur Esthetic Clinic,high
Resources/Aurilueur Esthetic Clinic - Operations Findings.pdf,04 Clients/Aurilueur Esthetic Clinic/Aurilueur Esthetic Clinic - Operations Findings.pdf,move,content-based routing → 04 Clients/Aurilueur Esthetic Clinic,high
Resources/Aurilueur Esthetic Clinic - What We're Seeing Across Bangalore.pdf,04 Clients/Aurilueur Esthetic Clinic/Aurilueur Esthetic Clinic - What We're Seeing Across Bangalore.pdf,move,content-based routing → 04 Clients/Aurilueur Esthetic Clinic,high
Resources/Aurilueur Esthetic Clinic - Intake Form (Post-Meeting).md,04 Clients/Aurilueur Esthetic Clinic/Aurilueur Esthetic Clinic Intake Form (Post Meeting).md,move,content-based routing → 04 Clients/Aurilueur Esthetic Clinic,high
AURILUEUR-REVENUE-RESEARCH-2026-09-05.md,04 Clients/Aurilueur Esthetic Clinic/Aurilueur Revenue Research 2026-09-05.md,move,content-based routing → 04 Clients/Aurilueur Esthetic Clinic | renamed; 1 file(s) cite the old name in prose — update in the same commit (rule 3),high
RUNSHEET-aureliere-2026-08-21.md,04 Clients/Aurilueur Esthetic Clinic/Runsheet Aurilueur 2026-08-21.md,move,content-based routing → 04 Clients/Aurilueur Esthetic Clinic,high
Resources/_source/aurilueur-proposal/README.md,04 Clients/Aurilueur Esthetic Clinic/Source/aurilueur-proposal/README.md,flag-merge-candidate,"moved as a unit with its folder 'Resources/_source/aurilueur-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched | MERGE CANDIDATE with 'Resources/_source/skinfit-proposal/README.md (== skinfit-proposal-v2/README.md, exact dup)': Whole file: 'build kit' rebuild instructions (Chrome headless command, Poppins/palette design system) — Only title line and output PDF path differ. Note: skinfit-proposal-v2/README.md still names the v1 output path",high
Resources/_source/aurilueur-proposal/fonts/Poppins-400-normal.ttf,04 Clients/Aurilueur Esthetic Clinic/Source/aurilueur-proposal/fonts/Poppins-400-normal.ttf,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/aurilueur-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Resources/_source/aurilueur-proposal/fonts/Poppins-500-italic.ttf,04 Clients/Aurilueur Esthetic Clinic/Source/aurilueur-proposal/fonts/Poppins-500-italic.ttf,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/aurilueur-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Resources/_source/aurilueur-proposal/fonts/Poppins-500-normal.ttf,04 Clients/Aurilueur Esthetic Clinic/Source/aurilueur-proposal/fonts/Poppins-500-normal.ttf,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/aurilueur-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Resources/_source/aurilueur-proposal/fonts/Poppins-600-normal.ttf,04 Clients/Aurilueur Esthetic Clinic/Source/aurilueur-proposal/fonts/Poppins-600-normal.ttf,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/aurilueur-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Resources/_source/aurilueur-proposal/proposal.html,04 Clients/Aurilueur Esthetic Clinic/Source/aurilueur-proposal/proposal.html,move,"moved as a unit with its folder 'Resources/_source/aurilueur-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",high
Resources/_source/aurilueur-proposal/style.css,04 Clients/Aurilueur Esthetic Clinic/Source/aurilueur-proposal/style.css,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/aurilueur-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Proposals & SOW/RUA Skin & Hair Center - Patient Communications Proposal.pdf,04 Clients/RUA Skin and Hair Center/RUA Skin & Hair Center - Patient Communications Proposal.pdf,move,content-based routing → 04 Clients/RUA Skin and Hair Center,high
Proposals & SOW/RUA Skin & Hair Center - Scope of Work.pdf,04 Clients/RUA Skin and Hair Center/RUA Skin & Hair Center - Scope of Work.pdf,move,content-based routing → 04 Clients/RUA Skin and Hair Center,high
Pre-outbound-research/rua-skin-hair-CALL-DOSSIER-2026-08-25.md,04 Clients/RUA Skin and Hair Center/RUA Skin and Hair Call Dossier 2026-08-25.md,move,content-based routing → 04 Clients/RUA Skin and Hair Center | renamed; 1 file(s) cite the old name in prose — update in the same commit (rule 3),high
Resources/_source/rua-proposal/fonts/Poppins-400-normal.ttf,04 Clients/RUA Skin and Hair Center/Source/rua-proposal/fonts/Poppins-400-normal.ttf,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/rua-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Resources/_source/rua-proposal/fonts/Poppins-500-italic.ttf,04 Clients/RUA Skin and Hair Center/Source/rua-proposal/fonts/Poppins-500-italic.ttf,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/rua-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Resources/_source/rua-proposal/fonts/Poppins-500-normal.ttf,04 Clients/RUA Skin and Hair Center/Source/rua-proposal/fonts/Poppins-500-normal.ttf,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/rua-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Resources/_source/rua-proposal/fonts/Poppins-600-normal.ttf,04 Clients/RUA Skin and Hair Center/Source/rua-proposal/fonts/Poppins-600-normal.ttf,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/rua-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Resources/_source/rua-proposal/proposal.html,04 Clients/RUA Skin and Hair Center/Source/rua-proposal/proposal.html,move,"moved as a unit with its folder 'Resources/_source/rua-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",high
Resources/_source/rua-proposal/style.css,04 Clients/RUA Skin and Hair Center/Source/rua-proposal/style.css,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/rua-proposal/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Resources/_source/rua-sow/sow.html,04 Clients/RUA Skin and Hair Center/Source/rua-sow/sow.html,move,"moved as a unit with its folder 'Resources/_source/rua-sow/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",high
MEETING-BRIEF-sapphire-2026-08-13.md,04 Clients/Sapphire Skin and Aesthetics/Meeting Brief Sapphire 2026-08-13.md,move,content-based routing → 04 Clients/Sapphire Skin and Aesthetics | renamed; 2 file(s) cite the old name in prose — update in the same commit (rule 3),high
Pitch-decks/sapphire-skin-clinic.pdf,04 Clients/Sapphire Skin and Aesthetics/sapphire-skin-clinic.pdf,move,"content-based routing → 04 Clients/Sapphire Skin and Aesthetics | 10 MB, the largest file in the vault; only pitch deck on file and it is Sapphire-specific",high
MEETING-BRIEF-skinfit-2026-08-18.md,04 Clients/SkinFit Wellness/Meeting Brief SkinFit 2026-08-18.md,move,content-based routing → 04 Clients/SkinFit Wellness | renamed; 2 file(s) cite the old name in prose — update in the same commit (rule 3),high
RUNSHEET-skinfit-gino-2026-08-18.md,04 Clients/SkinFit Wellness/Runsheet SkinFit Gino 2026-08-18.md,move,content-based routing → 04 Clients/SkinFit Wellness | renamed; 1 file(s) cite the old name in prose — update in the same commit (rule 3),high
SKINFIT-INFORMATION-REQUEST-REVIEW.md,04 Clients/SkinFit Wellness/SkinFit Information Request Review.md,move,content-based routing → 04 Clients/SkinFit Wellness | renamed; 4 file(s) cite the old name in prose — update in the same commit (rule 3),medium
SKINFIT-PROPOSAL-SOW-REVIEW-2026-08-22.md,04 Clients/SkinFit Wellness/SkinFit Proposal and SOW Review 2026-08-22.md,move,content-based routing → 04 Clients/SkinFit Wellness,high
SKINFIT-TECH-HANDOFF-2026-08-18.md,04 Clients/SkinFit Wellness/SkinFit Tech Handoff 2026-08-18.md,move,content-based routing → 04 Clients/SkinFit Wellness | renamed; 3 file(s) cite the old name in prose — update in the same commit (rule 3),medium
SKINFIT-TECHNICAL-BRIEF.md,04 Clients/SkinFit Wellness/SkinFit Technical Brief.md,move,content-based routing → 04 Clients/SkinFit Wellness | renamed; 1 file(s) cite the old name in prose — update in the same commit (rule 3),high
Resources/SkinFit Wellness - Enquiry Handling Review.pdf,04 Clients/SkinFit Wellness/SkinFit Wellness - Enquiry Handling Review.pdf,move,content-based routing → 04 Clients/SkinFit Wellness,high
Proposals & SOW/SkinFit Wellness - Enquiry System Strategy.html,04 Clients/SkinFit Wellness/SkinFit Wellness - Enquiry System Strategy.html,move,content-based routing → 04 Clients/SkinFit Wellness,high
Proposals & SOW/SkinFit Wellness - Enquiry System Strategy.pdf,04 Clients/SkinFit Wellness/SkinFit Wellness - Enquiry System Strategy.pdf,move,content-based routing → 04 Clients/SkinFit Wellness,high
Proposals & SOW/SkinFit Wellness - Patient Communications Proposal v2.pdf,04 Clients/SkinFit Wellness/SkinFit Wellness - Patient Communications Proposal v2.pdf,move,content-based routing → 04 Clients/SkinFit Wellness,high
Proposals & SOW/SkinFit Wellness - Patient Communications Proposal.pdf,04 Clients/SkinFit Wellness/SkinFit Wellness - Patient Communications Proposal.pdf,move,content-based routing → 04 Clients/SkinFit Wellness,high
Resources/SkinFit Wellness - Patient Conversion Proposal.html,04 Clients/SkinFit Wellness/SkinFit Wellness - Patient Conversion Proposal.html,move,"content-based routing → 04 Clients/SkinFit Wellness | HTML source for the same-named Aug-30 PDF (corrects Phase 0 ""no HTML source"" note)",high
Proposals & SOW/SkinFit Wellness - Patient Conversion Proposal.pdf,04 Clients/SkinFit Wellness/SkinFit Wellness - Patient Conversion Proposal.pdf,flag-merge-candidate,content-based routing → 04 Clients/SkinFit Wellness | MERGE CANDIDATE (3 SkinFit 'Patient Conversion' PDFs generated 2026-08-30 within 54 min): which was sent is unknowable from files. CORRECTION to Phase 0: HTML sources DO exist — Resources/SkinFit Wellness - Patient Conversion *.html (same date); they move alongside.,high
Resources/SkinFit Wellness - Patient Conversion System.html,04 Clients/SkinFit Wellness/SkinFit Wellness - Patient Conversion System.html,move,"content-based routing → 04 Clients/SkinFit Wellness | HTML source for the same-named Aug-30 PDF (corrects Phase 0 ""no HTML source"" note)",high
Proposals & SOW/SkinFit Wellness - Patient Conversion System.pdf,04 Clients/SkinFit Wellness/SkinFit Wellness - Patient Conversion System.pdf,flag-merge-candidate,content-based routing → 04 Clients/SkinFit Wellness | MERGE CANDIDATE with 'Proposals & SOW/SkinFit Wellness - Patient Conversion and Intelligence System.pdf; … - Pat': Three SkinFit 'Patient Conversion' PDFs generated 2026-08-30 within 54 minutes; no HTML source in vault for any of them — Binary — not text-compared. Flag only: which is the sent version is unknowable from the files | MERGE CANDIDATE (3 SkinFit 'Patient Conversion' PDFs generated 2026-08-30 within 54 min): which was sent is unknowable from files. CORRECTION to Phase 0: HTML sources DO exist — Resources/SkinFit Wellness - Patient Conversion *.html (same date); they move alongside.,high
Resources/SkinFit Wellness - Patient Conversion and Intelligence System.html,04 Clients/SkinFit Wellness/SkinFit Wellness - Patient Conversion and Intelligence System.html,move,"content-based routing → 04 Clients/SkinFit Wellness | HTML source for the same-named Aug-30 PDF (corrects Phase 0 ""no HTML source"" note)",high
Proposals & SOW/SkinFit Wellness - Patient Conversion and Intelligence System.pdf,04 Clients/SkinFit Wellness/SkinFit Wellness - Patient Conversion and Intelligence System.pdf,flag-merge-candidate,content-based routing → 04 Clients/SkinFit Wellness | MERGE CANDIDATE (3 SkinFit 'Patient Conversion' PDFs generated 2026-08-30 within 54 min): which was sent is unknowable from files. CORRECTION to Phase 0: HTML sources DO exist — Resources/SkinFit Wellness - Patient Conversion *.html (same date); they move alongside.,high
Resources/SkinFit Wellness - Revenue Diagnostic.pdf,04 Clients/SkinFit Wellness/SkinFit Wellness - Revenue Diagnostic.pdf,move,content-based routing → 04 Clients/SkinFit Wellness,high
Resources/SkinFit Wellness - Scope of Work.html,04 Clients/SkinFit Wellness/SkinFit Wellness - Scope of Work.html,move,content-based routing → 04 Clients/SkinFit Wellness,high
Proposals & SOW/SkinFit Wellness - Scope of Work.pdf,04 Clients/SkinFit Wellness/SkinFit Wellness - Scope of Work.pdf,move,content-based routing → 04 Clients/SkinFit Wellness,high
Resources/_source/skinfit-proposal-v2/fonts/Poppins-400-normal.ttf,04 Clients/SkinFit Wellness/Source/skinfit-proposal-v2/fonts/Poppins-400-normal.ttf,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/skinfit-proposal-v2/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Resources/_source/skinfit-proposal-v2/fonts/Poppins-500-italic.ttf,04 Clients/SkinFit Wellness/Source/skinfit-proposal-v2/fonts/Poppins-500-italic.ttf,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/skinfit-proposal-v2/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Resources/_source/skinfit-proposal-v2/fonts/Poppins-500-normal.ttf,04 Clients/SkinFit Wellness/Source/skinfit-proposal-v2/fonts/Poppins-500-normal.ttf,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/skinfit-proposal-v2/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
Resources/_source/skinfit-proposal-v2/fonts/Poppins-600-normal.ttf,04 Clients/SkinFit Wellness/Source/skinfit-proposal-v2/fonts/Poppins-600-normal.ttf,move,"byte-identical across 4 proposal build kits; KEPT because style.css resolves fonts/ by relative path and each kit's README rebuilds from its own folder. Consolidating breaks 3 of 4 rebuilds. | moved as a unit with its folder 'Resources/_source/skinfit-proposal-v2/' — internal relative paths (fonts, style.css, raw/, scripts, plugin manifest, kit CLAUDE.md) untouched",medium
